CGPA,Hours Spent,Domain
7.67,3,Data Science
8.09,1,Cloud Computing
8.55,3,Cloud Computing
8.83,4,Cloud Computing
5.06,4,Cloud Computing
6.5,4,Data Science
10.0,3,Cloud Computing
7.22,1,Data Science
7.82,3,Data Science
7.7,1,Data Science
7.36,3,Data Science
7.08,4,Data Science
9.66,2,Cloud Computing
7.58,5,Cloud Computing
5.84,5,Cloud Computing
7.48,5,Cloud Computing
8.02,3,Cloud Computing
9.24,4,Cloud Computing
7.02,2,Data Science
9.78,4,Cloud Computing
7.7,3,Data Science
8.42,2,Cloud Computing
5.41,4,Cloud Computing
5.79,1,Web Development
7.58,4,Data Science
9.5,2,Cloud Computing
6.01,1,Data Science
8.49,3,Cloud Computing
7.99,2,Data Science
9.32,1,Cloud Computing
5.75,3,Cloud Computing
9.7,5,Cloud Computing
6.2,3,Data Science
9.36,5,Cloud Computing
5.06,5,Cloud Computing
6.1,3,Data Science
5.79,1,Web Development
6.77,5,Cloud Computing
5.72,1,Web Development
6.42,3,Data Science
7.21,5,Cloud Computing
5.1,3,Cloud Computing
5.59,2,Web Development
6.48,3,Data Science
6.0,4,Data Science
8.62,2,Cloud Computing
7.44,1,Data Science
9.2,1,Cloud Computing
9.49,2,Cloud Computing
7.54,3,Data Science
5.2,5,Cloud Computing
5.5,4,Cloud Computing
8.7,4,Cloud Computing
9.37,3,Cloud Computing
8.62,5,Cloud Computing
9.89,4,Cloud Computing
5.72,3,Cloud Computing
8.18,2,Cloud Computing
7.28,2,Data Science
7.32,5,Cloud Computing
7.05,4,Data Science
8.78,3,Cloud Computing
5.65,4,Cloud Computing
7.25,1,Data Science
5.41,3,Cloud Computing
5.02,3,Cloud Computing
7.22,1,Data Science
9.42,2,Cloud Computing
6.42,1,Data Science
9.45,2,Cloud Computing
7.87,3,Data Science
6.5,2,Data Science
9.26,1,Cloud Computing
6.04,5,Cloud Computing
9.48,4,Cloud Computing
9.26,4,Cloud Computing
6.86,1,Data Science
9.15,2,Cloud Computing
6.99,3,Data Science
7.96,1,Data Science
5.85,4,Cloud Computing
9.67,2,Cloud Computing
6.9,5,Cloud Computing
8.8,3,Cloud Computing
9.98,4,Cloud Computing
9.83,4,Cloud Computing
7.68,4,Data Science
5.85,2,Web Development
8.58,2,Cloud Computing
7.21,3,Data Science
8.71,3,Cloud Computing
9.24,5,Cloud Computing
9.58,5,Cloud Computing
9.06,1,Cloud Computing
6.71,1,Data Science
5.5,2,Web Development
5.22,4,Cloud Computing
9.31,2,Cloud Computing
5.2,4,Cloud Computing
5.07,4,Cloud Computing
8.46,5,Cloud Computing
7.48,2,Data Science
9.94,5,Cloud Computing
6.43,2,Data Science
5.89,2,Web Development
7.14,1,Data Science
6.02,4,Data Science
6.46,3,Data Science
9.67,3,Cloud Computing
5.12,4,Cloud Computing
5.04,4,Cloud Computing
5.34,5,Cloud Computing
7.2,5,Cloud Computing
9.52,5,Cloud Computing
5.58,2,Web Development
6.72,1,Data Science
8.72,4,Cloud Computing
9.59,3,Cloud Computing
8.56,5,Cloud Computing
7.84,4,Data Science
8.35,1,Cloud Computing
5.03,3,Cloud Computing
7.16,1,Data Science
9.69,2,Cloud Computing
6.01,3,Data Science
5.4,1,Web Development
7.15,2,Data Science
9.36,4,Cloud Computing
5.39,4,Cloud Computing
8.59,3,Cloud Computing
6.79,3,Data Science
9.67,1,Cloud Computing
6.61,2,Data Science
6.7,5,Cloud Computing
8.6,5,Cloud Computing
6.3,3,Data Science
5.36,2,Web Development
5.42,2,Web Development
5.79,3,Cloud Computing
7.52,3,Data Science
9.02,5,Cloud Computing
5.22,3,Cloud Computing
7.85,1,Data Science
8.41,4,Cloud Computing
8.34,1,Cloud Computing
8.65,2,Cloud Computing
5.39,1,Web Development
9.61,2,Cloud Computing
6.84,1,Data Science
9.7,1,Cloud Computing
9.94,4,Cloud Computing
8.22,3,Cloud Computing
9.91,4,Cloud Computing
5.17,4,Cloud Computing
9.69,4,Cloud Computing
9.23,2,Cloud Computing
5.29,4,Cloud Computing
5.77,4,Cloud Computing
7.59,2,Data Science
5.16,1,Web Development
6.95,5,Cloud Computing
6.12,4,Data Science
5.05,5,Cloud Computing
5.47,5,Cloud Computing
7.46,5,Cloud Computing
6.94,1,Data Science
5.1,3,Cloud Computing
8.29,4,Cloud Computing
5.91,1,Web Development
8.63,1,Cloud Computing
7.97,2,Data Science
5.69,4,Cloud Computing
9.3,4,Cloud Computing
9.37,2,Cloud Computing
5.7,3,Cloud Computing
7.78,2,Data Science
5.82,2,Web Development
7.9,5,Cloud Computing
8.92,1,Cloud Computing
7.15,4,Data Science
7.88,1,Data Science
6.39,2,Data Science
9.98,2,Cloud Computing
8.05,3,Cloud Computing
9.07,3,Cloud Computing
9.0,1,Cloud Computing
8.51,1,Cloud Computing
5.96,4,Cloud Computing
9.95,4,Cloud Computing
5.01,1,Web Development
7.05,4,Data Science
9.47,2,Cloud Computing
5.09,3,Cloud Computing
7.38,2,Data Science
8.85,5,Cloud Computing
5.9,2,Web Development
5.88,2,Web Development
8.71,4,Cloud Computing
8.65,3,Cloud Computing
9.79,3,Cloud Computing
5.42,3,Cloud Computing
9.8,3,Cloud Computing
7.39,2,Data Science
7.38,1,Data Science
8.25,1,Cloud Computing
6.81,5,Cloud Computing
7.48,1,Data Science
6.43,2,Data Science
8.63,3,Cloud Computing
9.51,5,Cloud Computing
5.48,5,Cloud Computing
5.94,5,Cloud Computing
9.85,2,Cloud Computing
5.82,4,Cloud Computing
8.24,4,Cloud Computing
8.36,3,Cloud Computing
5.95,4,Cloud Computing
7.44,5,Cloud Computing
6.68,1,Data Science
5.58,1,Web Development
7.36,2,Data Science
7.71,2,Data Science
8.86,4,Cloud Computing
6.95,5,Cloud Computing
8.42,2,Cloud Computing
5.73,1,Web Development
6.53,3,Data Science
5.11,5,Cloud Computing
7.7,1,Data Science
7.98,4,Data Science
9.99,5,Cloud Computing
6.41,5,Cloud Computing
5.6,3,Cloud Computing
6.56,4,Data Science
8.98,4,Cloud Computing
5.3,2,Web Development
6.12,4,Data Science
5.1,3,Cloud Computing
7.16,3,Data Science
5.48,2,Web Development
9.46,2,Cloud Computing
7.69,3,Data Science
8.72,3,Cloud Computing
9.79,3,Cloud Computing
6.49,2,Data Science
9.86,5,Cloud Computing
7.8,5,Cloud Computing
8.5,5,Cloud Computing
6.05,2,Data Science
6.94,2,Data Science
9.57,3,Cloud Computing
9.9,2,Cloud Computing
7.5,2,Data Science
8.23,2,Cloud Computing
6.2,2,Data Science
8.47,5,Cloud Computing
5.35,4,Cloud Computing
9.01,1,Cloud Computing
9.66,1,Cloud Computing
6.39,5,Cloud Computing
5.62,1,Web Development
5.31,4,Cloud Computing
7.09,5,Cloud Computing
8.0,5,Cloud Computing
6.25,3,Data Science
9.18,4,Cloud Computing
5.91,3,Cloud Computing
6.94,5,Cloud Computing
9.34,5,Cloud Computing
9.96,1,Cloud Computing
7.69,4,Data Science
6.61,1,Data Science
8.5,4,Cloud Computing
6.47,5,Cloud Computing
5.99,4,Cloud Computing
8.64,1,Cloud Computing
8.28,3,Cloud Computing
5.45,3,Cloud Computing
7.81,2,Data Science
9.66,4,Cloud Computing
8.09,3,Cloud Computing
5.03,3,Cloud Computing
5.2,1,Web Development
9.01,2,Cloud Computing
7.96,5,Cloud Computing
5.74,2,Web Development
6.79,4,Data Science
7.35,4,Data Science
7.72,2,Data Science
8.36,3,Cloud Computing
7.79,3,Data Science
6.3,1,Data Science
6.89,3,Data Science
6.91,2,Data Science
5.83,4,Cloud Computing
8.25,2,Cloud Computing
6.12,2,Data Science
5.69,1,Web Development
7.98,2,Data Science
9.64,5,Cloud Computing
5.79,5,Cloud Computing
9.29,2,Cloud Computing
9.61,5,Cloud Computing
7.71,5,Cloud Computing
9.53,1,Cloud Computing
9.77,4,Cloud Computing
9.95,2,Cloud Computing
7.26,3,Data Science
5.66,2,Web Development
6.34,3,Data Science
7.94,5,Cloud Computing
9.7,2,Cloud Computing
7.11,3,Data Science
5.58,5,Cloud Computing
5.16,2,Web Development
8.09,5,Cloud Computing
9.55,2,Cloud Computing
9.46,4,Cloud Computing
9.86,1,Cloud Computing
8.74,4,Cloud Computing
8.52,2,Cloud Computing
5.73,1,Web Development
7.18,2,Data Science
6.64,1,Data Science
5.06,3,Cloud Computing
8.05,1,Cloud Computing
9.68,5,Cloud Computing
8.5,2,Cloud Computing
7.1,3,Data Science
8.15,5,Cloud Computing
8.62,2,Cloud Computing
7.49,1,Data Science
5.2,2,Web Development
7.54,1,Data Science
5.34,2,Web Development
9.39,2,Cloud Computing
6.97,4,Data Science
9.12,1,Cloud Computing
7.66,4,Data Science
9.78,4,Cloud Computing
9.88,5,Cloud Computing
9.26,4,Cloud Computing
9.1,4,Cloud Computing
7.0,1,Data Science
6.62,5,Cloud Computing
6.74,3,Data Science
6.82,3,Data Science
5.04,4,Cloud Computing
5.26,4,Cloud Computing
7.86,4,Data Science
5.06,4,Cloud Computing
5.63,5,Cloud Computing
7.85,3,Data Science
7.97,2,Data Science
6.08,5,Cloud Computing
9.61,2,Cloud Computing
